4 150 2000
0.329498 0.909550 0.841926 0.800973
0.299901 0.839616 0.827137 0.858456
0.330907 0.753616 0.769119 0.837232
0.361913 0.614694 0.691760 0.763831
0.378825 0.463485 0.648531 0.670974
0.370369 0.320783 0.653081 0.543628
0.380234 0.374651 0.705412 0.357916
0.366141 0.551375 0.756605 0.246488
0.363322 0.781023 0.772532 0.210230
0.364731 0.962473 0.737265 0.234992
0.311176 1.029571 0.688347 0.327848
0.244937 1.028626 0.648531 0.433085
0.151919 0.985154 0.623503 0.474649
0.157557 0.944517 0.598475 0.422473
0.228024 0.933176 0.600751 0.349072
0.318223 0.939792 0.595062 0.321658
0.461977 0.972868 0.568897 0.295127
0.559222 1.018231 0.560934 0.262406
0.594456 1.093835 0.542732 0.189890
0.639555 1.192120 0.530218 0.093496
0.673379 1.278120 0.509741 0.028054
0.762169 1.336713 0.425557 0.022748
0.898876 1.343329 0.322033 0.023633
1.015852 1.297966 0.154803 0.037782
1.117325 1.255439 -0.027217 0.023633
1.099003 1.219527 -0.198998 0.002408
0.998939 1.224252 -0.134154 0.005946
0.855186 1.249768 0.078582 -0.010857
0.767806 1.276230 0.355024 0.004177
0.760759 1.288516 0.573448 0.004177
0.780490 1.285680 0.654219 -0.027659
0.850958 1.296076 0.653081 -0.101060
0.924244 1.291351 0.600751 -0.172692
1.027126 1.285680 0.551833 -0.189495
1.072226 1.272450 0.538181 -0.136434
1.077863 1.176054 0.546145 -0.027659
1.022898 1.094780 0.585961 0.106761
0.936928 1.064538 0.640567 0.203155
0.805858 1.075879 0.731577 0.257100
0.698748 1.117461 0.849890 0.319004
0.690292 1.195901 0.953413 0.372950
0.769215 1.310252 1.023946 0.444582
0.962296 1.417988 1.031909 0.517098
1.158196 1.486976 0.977304 0.557778
1.328728 1.498317 0.926111 0.587846
1.347049 1.443504 0.882881 0.556009
1.261079 1.348054 0.888569 0.507370
1.115916 1.272450 0.919285 0.460500
0.901694 1.226142 0.951138 0.434854
0.718479 1.239373 0.965927 0.472881
0.522579 1.320647 0.962514 0.504717
0.463386 1.435944 0.975028 0.555125
0.601502 1.536119 0.969340 0.624988
0.845320 1.591877 0.962514 0.646213
1.182155 1.582427 0.946588 0.649750
1.410470 1.519108 0.830550 0.614376
1.449932 1.439724 0.732715 0.561315
1.428792 1.361285 0.696311 0.501180
1.310406 1.307417 0.709962 0.434854
1.066588 1.228032 0.760018 0.370297
0.856595 1.168494 0.854440 0.357031
0.676198 1.114626 0.992093 0.428663
0.553585 1.077769 1.121782 0.572812
